,entities,labels
14717,Lymphoblastic lymphoma (Precursor T-lymphoblastic lymphoma/leukemia) refractory,10036547
14718,Precursor T-lymphoblastic lymphoma/leukaemia refractory,10036547
14719,Precursor T-lymphoblastic lymphoma/leukemia refractory,10036547
14720,T-lymphoblastic lymphoma (Kiel Classification) refractory,10036547
14721,Convoluted T lymphocytic lymphoma (Lukes-Collins Classification) stage I,10036548
14722,Lymphoblastic lymphoma (Precursor T-lymphoblastic lymphoma/leukaemia) (Working Formulation) stage I,10036548
14723,Lymphoblastic lymphoma (Precursor T-lymphoblastic lymphoma/leukemia) (Working Formulation) stage I,10036548
14724,Precursor T-lymphoblastic lymphoma/leukaemia stage I,10036548
14725,Precursor T-lymphoblastic lymphoma/leukemia stage I,10036548
14726,T-lymphoblastic lymphoma (Kiel Classification) stage I,10036548
14727,Convoluted T lymphocytic lymphoma (Lukes-Collins Classification) stage II,10036549
14728,Precursor T-lymphoblastic lymphoma/leukaemia stage II,10036549
14729,Precursor T-lymphoblastic lymphoma/leukemia stage II,10036549
14730,T-lymphoblastic lymphoma (Kiel Classification) stage II,10036549
14731,Convoluted T lymphocytic lymphoma (Lukes-Collins Classification) stage III,10036550
14732,Lymphoblastic lymphoma (Precursor T-lymphoblastic lymphoma/leukaemia) stage III,10036550
14733,Lymphoblastic lymphoma (Precursor T-lymphoblastic lymphoma/leukemia) stage III,10036550
14734,Precursor T-lymphoblastic lymphoma/leukaemia stage III,10036550
14735,Precursor T-lymphoblastic lymphoma/leukemia stage III,10036550
14736,T-lymphoblastic lymphoma (Kiel Classification) stage III,10036550
14737,Convoluted T lymphocytic lymphoma (Lukes-Collins Classification) stage IV,10036551
14738,Precursor T-lymphoblastic lymphoma/leukaemia stage IV,10036551
14739,Precursor T-lymphoblastic lymphoma/leukemia stage IV,10036551
14740,T-lymphoblastic lymphoma (Kiel Classification) stage IV,10036551
14741,Convulsion in childhood,10052391
14742,Convulsion Jacksonian,10040703
14743,Focal onset aware seizure,10040703
14744,Jacksonian epilepsy,10040703
14745,Jacksonian seizures,10040703
14746,"Partial epilepsy, without mention of impairment of consciousness",10040703
14747,"Partial epilepsy, without mention of impairment of consciousness w/o ment of intractable epilepsy",10040703
14748,"Partial epilepsy, without mention of impairment of consciousness with intractable epilepsy",10040703
14749,"Partial epilepsy, without mention of impairment of consciousness, w/o ment of intractable epilepsy",10040703
14750,"Partial seizures, simple",10040703
14751,Simple partial seizures,10040703
14752,Convulsion neonatal,10082067
14753,Convulsions in newborn,10082067
14754,Convulsions neonatal,10082067
14755,Neonatal convulsion,10082067
14756,Neonatal fit,10082067
14757,Neonatal seizure,10082067
14758,Neonatal seizures,10082067
14759,Convulsions local,10010920
14760,Convulsive threshold lowered,10010927
14761,Lowered seizure threshold during ECT,10010927
14762,Threshold convulsion lowered,10010927
14763,Convulsive tic,10063006
14764,Facial spasm,10063006
14765,Hemifacial spasm,10063006
14766,Oro-facial spasm,10063006
14767,COPA syndrome,10083948
14768,Cope's sign,10051870
14769,Psoas sign,10051870
14770,Copper deficiency,10010957
14771,Hypocupraemia,10010957
14772,Hypocupremia,10010957
14773,Copper metabolism disorder,10061091
14774,Copper metabolism disorder NOS,10061091
14775,Disorders of copper metabolism,10061091
14776,Coprolalia,10010964
14777,Cord demyelinating disorder,10012305
14778,Cord demyelinating disorder NOS,10012305
14779,Demyelinating disease (excl multiple sclerosis,10012305
14780,"Demyelinating disease of central nervous system, unspecified",10012305
14781,Demyelination,10012305
14782,Demyelination disorder NOS,10012305
14783,Demyelination NOS,10012305
14784,Gray matter demyelination,10012305
14785,Grey matter demyelination,10012305
14786,Myelinolysis,10012305
14787,Other demyelinating diseases of central nervous system,10012305
14788,Other specified demyelinating diseases of central nervous system,10012305
14789,White matter demyelination,10012305
14790,Corneal cyst,10061787
14791,Corneal cyst NOS,10061787
14792,Corneal epithelial dysplasia,10082449
14793,Corneoconjunctival intraepithelial neoplasia,10082449
14794,Ocular surface squamous neoplasia,10082449
14795,Cornelia de Lange syndrome,10077707
14796,De Lange's syndrome,10077707
14797,Corpora amylacea brain,10083297
14798,Corpus luteum cyst ruptured,10033136
14799,Ovarian cyst ruptured,10033136
14800,Rupture of ovarian mucinous cysts,10033136
14801,Cortical dysplasia,10070666
14802,Focal cortical dysplasia,10070666
14803,Cortical laminar necrosis,10051990
14804,Cortical tubers,10080584
14805,Epiloia,10080584
14806,Epiloya,10080584
14807,Koenen's tumor,10080584
14808,Koenen's tumour,10080584
14809,Pringle nodule,10080584
14810,Tuberous sclerosis,10080584
14811,Tuberous sclerosis complex,10080584
14812,Cortical visual impairment,10076660
14813,Corticobasal degeneration,10078208
14814,Cortisol deficiency,10072079
14815,Glucocorticoid deficiency,10072079
14816,Hypocortisolaemia,10072079
14817,Hypocortisolemia,10072079
14818,Hypocortisolism,10072079
14819,Costal cartilage fracture,10078358
14820,Costal chondritis,10011219
14821,Costochondral junction syndrome,10011219
14822,Costochondritis,10011219
14823,Tietze's disease,10011219
14824,Tietze's syndrome,10011219
14825,Costello syndrome,10067380
14826,Costochondral separation,10077287
14827,Cotugno's disease,10039674
14828,Cotunnius' disease,10039674
14829,Cruralgia,10039674
14830,Ischial neuralgia,10039674
14831,Ischialgia,10039674
14832,Ischias,10039674
14833,Lumbar radicular pain,10039674
14834,Lumbar root pain,10039674
14835,Lumboischialgia,10039674
14836,Lumbosacral root pain,10039674
14837,Neuritis sciatic,10039674
14838,R sciatica,10039674
14839,Sciatic neuralgia,10039674
14840,Sciatica,10039674
14841,Sciatica (excl lumbar disc lesion,10039674
14842,Sciatica aggravated,10039674
14843,Cowden syndrome,10051906
14844,Cowden's disease,10051906
14845,Multiple hamartoma syndrome,10051906
14846,Cow's milk intolerance,10011852
14847,Cow's milk protein intolerance,10011852
14848,Dairy intolerance,10011852
14849,Coxa antetorta,10064516
14850,Femoral anteversion,10064516
14851,Coxsackie aseptic meningitis,10027208
14852,Meningitis coxsackie viral,10027208
14853,Meningitis due to coxsackie virus,10027208
14854,Crackling jaw,10077089
14855,Jaw clicking,10077089
14856,Cramp-fasciculation syndrome,10081974
14857,Cranial arteritis,10018250
14858,Giant cell arteritis,10018250
14859,Granulomatous arteritis,10018250
14860,Horton's arteritis,10018250
14861,Horton's disease,10018250
14862,Temporal arteritis,10018250
14863,Cranial nerve disorder,10061093
14864,Cranial nerve disorder NOS,10061093
14865,Cranial nerve lesion,10061093
14866,Cranial nerve lesion NOS,10061093
14867,Cranial nerve sensory neuropathy,10061093
14868,Cranial neuropathy,10061093
14869,Cranial neuropathy NOS,10061093
14870,Unspecified disorder of cranial nerves,10061093
14871,Cranial nerve infection,10065765
14872,Cranial nerve injury,10061094
14873,Cranial nerve injury NOS,10061094
14874,Injury to other cranial nerve(s,10061094
14875,Injury to other cranial nerves,10061094
14876,Injury to other specified cranial nerves,10061094
14877,Injury to unspecified cranial nerve,10061094
14878,Late effect of injury to cranial nerve,10061094
14879,Cranial nerve injury secondary to birth trauma,10011308
14880,Cranial nerve palsies multiple,10011314
14881,Multiple cranial nerve palsies,10011314
14882,Cranial nerve paralysis,10061908
14883,Paralysis of cranial nerve NOS,10061908
14884,Cranial sutures widening,10058604
14885,Cranial third nerve paralysis,10021283
14886,IIIrd nerve palsy,10021283
14887,IIIrd nerve paralysis,10021283
14888,Oculomotor nerve paralysis,10021283
14889,Oculomotor paralysis,10021283
14890,Paralysis oculomotor,10021283
14891,Third nerve paralysis,10021283
14892,"Third or oculomotor nerve palsy, partial",10021283
14893,"Third or oculomotor nerve palsy, total",10021283
14894,Cranial third nerve paresis,10054202
14895,IIIrd nerve paresis,10054202
14896,Oculomotor paresis,10054202
14897,Third nerve paresis,10054202
14898,Craniocervical syndrome,10077374
14899,Craniofacial deformity,10074180
14900,Craniofacial dysjunction fracture,10077603
14901,Craniofacial fracture,10077603
14902,Craniofacial dysostosis,10066946
14903,Crouzon's disease,10066946
14904,Craniofacial injury,10085093
14905,Craniolacunia,10072116
14906,Lacunar skull,10072116
14907,Craniopharyngioma malignant,10084814
14908,Craniorachischisis,10011321
14909,Craniosynostosis,10049889
14910,Premature closure of cranial sutures,10049889
14911,Crawling,10017062
14912,Crawling sensation,10017062
14913,Crawling sensation of skin,10017062
14914,Formication,10017062
14915,Crescent fracture,10074362
14916,Sacroiliac fracture,10074362
14917,CREST syndrome,10011380
14918,CRST syndrome,10011380
14919,Cri du Chat syndrome,10011385
14920,Crigler-Najjar syndrome,10011386
14921,Crigler-Najjar syndrome type I,10011386
14922,Crigler-Najjar syndrome type II,10011386
14923,Crisis oculogyric,10030071
14924,Dyskinesia oculomotor,10030071
14925,Ocular lateral crisis,10030071
14926,Oculogyration,10030071
14927,Oculogyric crisis,10030071
14928,Oculomotor dyskinesia,10030071
14929,Oculomotor spasm,10030071
14930,Spasm oculogyric,10030071
14931,Spasm oculomotor,10030071
14932,Crisis thyroid,10043786
14933,Thyroid crisis,10043786
14934,Thyroid storm,10043786
14935,Thyrotoxic crisis,10043786
14936,Thyrotoxicosis from ectopic thyroid nodule with mention of thyrotoxic crisis or storm,10043786
14937,Thyrotoxicosis of other specified origin with mention of thyrotoxic crisis or storm,10043786
14938,"Thyrotoxicosis without mention of goiter or other cause, with mention of thyrotoxic crisis or storm",10043786
14939,Toxic diffuse goiter with mention of thyrotoxic crisis or storm,10043786
14940,Toxic diffuse goitre with mention of thyrotoxic crisis or storm,10043786
14941,Toxic multinodular goiter with mention of thyrotoxic crisis or storm,10043786
14942,"Toxic nodular goiter, unspecified type, with mention of thyrotoxic crisis or storm",10043786
14943,Toxic uninodular goiter with mention of thyrotoxic crisis or storm,10043786
14944,Critical illness myopathy,10077255
14945,Critical illness polyneuromyopathy,10077255
14946,Critical illness polyneuropathy,10077255
14947,ICU acquired weakness,10077255
14948,Intensive care neuropathy,10077255
14949,Intensive care unit acquired weakness,10077255
14950,Crocodile tears syndrome,10065562
14951,Cronkhite-Canada syndrome,10062907
14952,Crossed diplopia,10078509
14953,Heteronymous diplopia,10078509
14954,Crow-Fukase syndrome,10053869
14955,POEMS syndrome,10053869
14956,"Polyneuropathy, organomegaly, endocrinopathy, M-protein, and skin changes",10053869
14957,Crowned dens syndrome,10075005
14958,Cryaesthesia,10068011
14959,Cryesthesia,10068011
14960,Thermohyperaesthesia,10068011
14961,Thermohyperesthesia,10068011
14962,Crying,10011469
14963,Crying abnormal,10011469
14964,Crying uncontrollable,10011469
14965,Inconsolable crying,10011469
14966,Persistent crying,10011469
14967,Uncontrollable crying,10011469
14968,Weeping,10011469
14969,Weepy,10011469
14970,Crying DPT vaccine related,10052286
14971,High-pitched crying,10052286
14972,Cryopyrin associated periodic syndrome,10068850
14973,Cryptococcal meningitis,10027209
14974,Cryptococcal meningitis recurrent,10027209
14975,Cryptococcus neoformans meningitis,10027209
14976,Meningitis cryptococcal,10027209
14977,Meningitis torula,10027209
14978,Cryptococcal meningoencephalitis,10084824
14979,Crystal nephropathy,10071503
14980,Oxalate nephropathy,10071503
14981,CSF HIV escape syndrome,10081027
14982,Cubital tunnel syndrome,10056473
14983,Sulcus ulnaris syndrome,10056473
14984,Cubitus valgus (acquired,10061833
14985,Cubitus varus (acquired,10061833
14986,Elbow deformity,10061833
14987,Elbow deformity (acquired,10061833
14988,Elbow deformity NOS,10061833
14989,Cuboid syndrome,10081921
14990,Currarino syndrome,10079857
14991,Curvature of spine,10058907
14992,Curvature of spine associated with other conditions,10058907
14993,"Curvature of spine associated with other conditions, unspecified",10058907
14994,Deformity of spine,10058907
14995,Other acquired deformity of back or spine,10058907
14996,Other curvatures of spine,10058907
14997,Other curvatures of spine associated with other conditions,10058907
14998,Spinal deformity,10058907
14999,Unspecified curvature of spine,10058907
15000,Unspecified curvature of spine associated with other conditions,10058907
15001,Cushing-like build,10011655
15002,Cushingoid,10011655
15003,Cushingoid facies,10011655
15004,Moon face,10011655
15005,Moon face top,10011655
15006,Cushings syndrome,10011652
15007,Cushing's syndrome,10011652
15008,"Cushing's syndrome, steroid-induced",10011652
15009,Syndrome Cushing's,10011652
15010,Cutaneous B-cell lymphoma,10085518
15011,Cutaneous hepatic porphyria,10036186
15012,Erythropoietic protoporphyria,10036186
15013,Haematoporphyrinaemia,10036186
15014,Hematoporphyrinemia,10036186
15015,Porphyria cutanea tarda,10036186
15016,Porphyria hepatic,10036186
15017,Porphyria hepatic aggravated,10036186
15018,Porphyria non-acute,10036186
15019,Porphyria non-acute aggravated,10036186
15020,Uroporphyrinogen decarboxylase deficiency,10036186
15021,Cutaneous lupus erythematosus,10056509
15022,Discoid lupus erythematosis,10056509
15023,Discoid lupus erythematosus,10056509
15024,Discoid lupus erythematosus aggr,10056509
15025,Discoid lupus erythematosus aggravated,10056509
15026,Discoid lupus erythematosus of eyelid,10056509
15027,DLE,10056509
15028,LE-like discoid rash,10056509
15029,Lupus erythematosis discoid,10056509
15030,Lupus erythematosus discoid,10056509
15031,Lupus erythematosus discoides,10056509
15032,Cutaneous lymphoma,10079945
15033,Lymphoma cutis,10079945
15034,Cutaneous squamous cell carcinoma,10041834
15035,Invasive squamous cell carcinoma of the skin,10041834
15036,Spindle cell carcinoma of the skin,10041834
15037,Spinocellular carcinoma,10041834
15038,Squamous cell cancer of the eyelid,10041834
15039,Squamous cell carcinoma infraorbital rim,10041834
15040,Squamous cell carcinoma of scalp,10041834
15041,Squamous cell carcinoma of skin,10041834
15042,Squamous cell carcinoma of skin anaplastic,10041834
15043,Squamous cell carcinoma of skin differentiated,10041834
15044,Squamous cell carcinoma of skin undifferentiated,10041834
15045,Squamous cell carcinoma of skin well differentiated,10041834
15046,Squamous cell carcinoma of the face,10041834
15047,Cutis hyperplastica,10014316
15048,Ehlers-Danlos syndrome,10014316
15049,Ehlers-Danlos syndrome type III,10014316
15050,Ehlers-Danlos syndrome type IX,10014316
15051,Cutis laxa,10011692
15052,Dermatolysis,10011692
15053,Cyclopia,10057648
15054,Cyriax's syndrome,10067349
15055,Slipping rib syndrome,10067349
15056,Cyst,10011732
15057,Cyst NOS,10011732
15058,Oil cyst,10011732
15059,Cyst and pseudocyst of pancreas,10033615
15060,Pancreas cyst,10033615
15061,Pancreatic cyst,10033615
15062,Cyst epidermal,10012426
15063,Cyst sebaceous,10012426
15064,Dermal cyst,10012426
15065,Dermal inclusion cyst,10012426
15066,Epidermal cyst,10012426
15067,Epidermal inclusion cyst,10012426
15068,Pilar cyst,10012426
15069,Sebaceous cyst,10012426
15070,Skin atheroma,10012426
15071,Skin cyst,10012426
15072,Skin cysts,10012426
15073,Skin cysts NOS,10012426
15074,Subcutaneous cyst,10012426
15075,Trichilemmal cyst,10012426
15076,Wen,10012426
15077,Cyst injection site,10022055
15078,Injection site cyst,10022055
15079,Cyst of kidney,10038423
15080,"Cyst of kidney, acquired",10038423
15081,Parapelvic cyst,10038423
15082,Parapyelitic cyst,10038423
15083,Pyeloureteritis cystica,10038423
15084,Renal cyst,10038423
15085,Renal cyst (excl congenital,10038423
15086,Renal cyst calcification,10038423
15087,Renal cyst NOS,10038423
15088,Renal cysts,10038423
15089,Simple renal cyst,10038423
15090,Cyst of pharynx or nasopharynx,10034821
15091,Pharyngeal cyst,10034821
15092,Cyst rupture,10061803
15093,Cyst rupture NOS,10061803
15094,Cystadenocarcinoma ovary,10054912
15095,Cystadenocarcinoma pancreas,10065908
15096,Mucinous cystadenocarcinoma of pancreas,10065908
15097,Serous cystadenocarcinoma of pancreas,10065908
15098,Cystadenofibroma of fallopian tube,10080257
15099,Cystathionine beta-synthase deficiency,10071093
15100,Cystic angiomatosis,10079371
15101,Skeletal-extraskeletal angiomatosis,10079371
15102,"Cystic eyeball, congenital",10011761
15103,Cystic fibrosis related diabetes,10068271
15104,Cystic hygroma,10058949
15105,Cystic lymphangioma,10058949
15106,Hygroma cystic,10058949
15107,Cystinosis,10011777
15108,Nephropathic cystinosis,10011777
15109,Cystinuria,10011778
15110,Cystinuria present,10011778
15111,Cystoma,10028980
15112,Epithelioma,10028980
15113,Neoplasm,10028980
15114,Neoplasm (NOS,10028980
15115,Neoplasm growth accelerated,10028980
15116,Neoplasm NOS,10028980
15117,Neoplasm of uncertain behavior of endocrine glands and nervous system,10028980
15118,Neoplasm of uncertain behavior of other and unspecified sites and tissues,10028980
15119,Neoplasm of uncertain behavior of other specified sites,10028980
15120,"Neoplasm of uncertain behavior, site unspecified",10028980
15121,Neoplasm of uncertain behaviour of endocrine glands and nervous system,10028980
15122,Neoplasm of uncertain behaviour of other and unspecified sites and tissues,10028980
15123,Neoplasm of uncertain behaviour of other specified sites,10028980
15124,"Neoplasm of uncertain behaviour, site unspecified",10028980
15125,"Neoplasm of unspecified nature of bone, soft tissue, and skin",10028980
15126,Neoplasm of unspecified nature of endocrine glands and other parts of nervous system,10028980
15127,Neoplasm of unspecified nature of other specified sites,10028980
15128,"Neoplasm of unspecified nature, site unspecified",10028980
15129,Neoplasms of unspecified nature,10028980
15130,Solid tumor,10028980
15131,Solid tumour,10028980
15132,Tumor,10028980
15133,Tumour,10028980
15134,Cystosarcoma phyllodes,10071776
15135,Cystosarcoma phylloides,10071776
15136,Phyllodes tumor,10071776
15137,Phyllodes tumour,10071776
15138,"Cysts of iris, ciliary body, and anterior chamber",10022949
15139,Exudative cysts of iris or anterior chamber,10022949
15140,Idiopathic cysts of iris and ciliary body,10022949
15141,Implantation cysts of iris and ciliary body,10022949
15142,Iris cyst,10022949
15143,Cysts of oral soft tissues,10028020
15144,Mouth cyst,10028020
15145,Cytarabine syndrome,10067549
15146,Cytosine arabinoside syndrome,10067549
15147,Cytotoxic edema,10067276
15148,Cytotoxic oedema,10067276
15149,Dactylitis,10064769
15150,Dandy-Walker syndrome,10048411
15151,Danon disease,10053185
15152,Glycogen storage disease type II,10053185
15153,Pompe's disease,10053185
15154,Pompe's disease adult onset,10053185
15155,Pompe's disease infantile onset,10053185
15156,Pompe's disease juvenile onset,10053185
15157,Pompe's disease late onset,10053185
15158,Type II glycogen storage disease,10053185
15159,Dawn phenomenon,10052097
15160,Daytime sleepiness,10041349
15161,Drowsiness,10041349
15162,Drowsy on awakening,10041349
15163,Excessive daytime sleepiness,10041349
15164,Feeling of residual sleepiness,10041349
15165,Groggy,10041349
15166,Groggy and sluggish,10041349
15167,Groggy on awakening,10041349
15168,Hard to awaken,10041349
15169,Less alert on arising,10041349
15170,Sleepiness,10041349
15171,Sleepy,10041349
15172,Somnolence,10041349
15173,DDX3X syndrome,10084534
15174,De Barsy syndrome,10083947
15175,de Morsier-Kallman's syndrome,10053142
15176,Kallmann's syndrome,10053142
15177,Kallman's syndrome,10053142
15178,Olfacto genital dysplasia,10053142
15179,de Morsier's syndrome,10067159
15180,Septo-optic dysplasia,10067159
15181,De novo purine synthesis inhibitors associated acute inflammatory syndrome,10084887
15182,De Quervain's tenosynovitis,10056698
15183,Gamer's thumb,10056698
15184,Radial styloid tenosynovitis,10056698
15185,Tenosynovitis stenosans,10056698
15186,Texter's thumb,10056698
15187,De Toni-Fanconi syndrome,10016219
15188,Fanconi syndrome,10016219
15189,Fanconi syndrome congenital,10016219
15190,Deaf mutism,10011875
15191,"Deaf mutism, not elsewhere classifiable",10011875
15192,"Deaf mutism, not elsewhere classified",10011875
15193,Deafness permanent,10011894
15194,Deafness permanent partial,10011894
15195,Deafness permanent total,10011894
15196,Partial permanent deafness,10011894
15197,Permanent deafness,10011894
15198,Total permanent deafness,10011894
15199,Deafness reversible,10011900
15200,Deafness temporary,10011900
15201,Deafness transitory,10011900
15202,Deafness transitory partial,10011900
15203,Deafness transitory total,10011900
15204,Partial transitory deafness,10011900
15205,Total transitory deafness,10011900
15206,Transient ischaemic deafness,10011900
15207,Transient ischemic deafness,10011900
15208,Transitory deafness,10011900
15209,Debrancher deficiency,10053250
15210,Forbes' disease,10053250
15211,Glycogen storage disease type III,10053250
15212,Decerebrate posture,10073346
15213,Decerebration,10049095
15214,Decompensated diabetes,10074309
15215,Diabetic metabolic decompensation,10074309
15216,Decorticate posture,10073345
15217,Decreased ability to grasp,10061296
15218,Lower limb motor deficit,10061296
15219,Motor deficit,10061296
15220,Motor dysfunction,10061296
15221,Motor dysfunction NOS,10061296
15222,Neuromuscular excitation,10061296
15223,Upper limb motor deficit,10061296
15224,Decreased arm swing,10028035
15225,Impaired agility,10028035
15226,Movement disorder,10028035
15227,Movement disorder (NOS,10028035
15228,Movement disorder NOS,10028035
15229,Movements disturbance NOS,10028035
15230,Decreased eye contact,10069633
15231,Loss of visual contact,10069633
15232,Decreased gait velocity,10082636
15233,Decreased insulin requirement,10052340
15234,Decreased nasolabial fold,10076861
15235,Decreased vibratory sense,10067502
15236,Hypopallaesthesia,10067502
15237,Hypopallesthesia,10067502
15238,Pallanaesthesia,10067502
15239,Pallanesthesia,10067502
15240,Dedifferentiated liposarcoma,10073135
15241,Defaecation urge painful,10057071
15242,Defecation urge painful,10057071
15243,Ineffective straining at stool,10057071
15244,Rectal tenesmus,10057071
15245,Tenesmus,10057071
15246,Deficiency mental,10067989
15247,Educationally subnormal,10067989
15248,Feeble-minded,10067989
15249,Idiocy,10067989
15250,Idiot,10067989
15251,Imbecile,10067989
15252,Imbecility,10067989
15253,Intellectual development disorder,10067989
15254,Intellectual disability,10067989
15255,Mental deficiency,10067989
15256,Mental handicap NOS,10067989
15257,Mental retardation,10067989
15258,Mental retardation severity unspecified,10067989
15259,Mild mental retardation,10067989
15260,Moderate mental retardation,10067989
15261,Moronity,10067989
15262,Oligophrenia,10067989
15263,Other specified mental retardation,10067989
15264,Profound mental retardation,10067989
15265,Retardation mental,10067989
15266,Severe imbecility,10067989
15267,Severe mental retardation,10067989
15268,Unspecified mental retardation,10067989
15269,Deficiency of B-complex components,10061580
15270,Other B-complex deficiencies,10061580
15271,Thiamine ＆ niacin deficiency,10061580
15272,Thiamine and niacin deficiency states,10061580
15273,Unspecified vitamin B deficiency,10061580
15274,Vitamin B complex deficiency,10061580
15275,Vitamin B complex deficiency NOS,10061580
15276,Vitamin B complex deficiency sympto,10061580
15277,Vitamin B complex deficiency symptom,10061580
15278,Deficiency of the interleukin-1 receptor antagonist,10072224
15279,DIRA,10072224
15280,Deficiency of vitamin K,10047634
15281,Phytonadione deficiency,10047634
15282,Vitamin K deficiency,10047634
15283,Degeneration fatty liver,10019708
15284,Fatty liver,10019708
15285,Fatty liver infiltration,10019708
15286,Fatty liver metamorphosis,10019708
15287,Focal hepatic steatosis,10019708
15288,Hepatic macrosteatosis,10019708
15289,Hepatic microsteatosis,10019708
15290,Hepatic steatosis,10019708
15291,Infiltration fatty liver,10019708
15292,Liver fatty,10019708
15293,Liver fatty change,10019708
15294,Liver fatty degeneration,10019708
15295,Liver fatty deposit,10019708
15296,Liver fatty deposition,10019708
15297,Liver fatty infiltration,10019708
15298,Liver fatty metamorphosis,10019708
15299,Liver fatty phanerosis,10019708
15300,Metamorphosis fatty liver,10019708
15301,Microvesicular fat disease of liver,10019708
15302,Phanerosis fatty liver,10019708
15303,Steatosis hepatic,10019708
15304,Degeneration of uterine fibroid,10046798
15305,Degeneration of uterine leiomyoma,10046798
15306,Fibroid uterine degenerated,10046798
15307,Fibroid uterine enlarged,10046798
15308,Fibroids,10046798
15309,Hysteromyoma,10046798
15310,Intramural leiomyoma of uterus,10046798
15311,"Leiomyoma of uterus, unspecified",10046798
15312,Leiomyoma uterine degenerated,10046798
15313,Leiomyomauterine increase,10046798
15314,Metrofibroma,10046798
15315,Necrotic leiomyoma,10046798
15316,Necrotic uterine fibroid,10046798
15317,Prolapsed uterine fibroid,10046798
15318,Submucous leiomyoma of uterus,10046798
15319,Subserous leiomyoma of uterus,10046798
15320,Uterine fibroid,10046798
15321,Uterine fibroid calcification,10046798
15322,Uterine fibroids,10046798
15323,Uterine fibroids aggravated,10046798
15324,Uterine fibroids degenerated,10046798
15325,Uterine fibroids enlarged,10046798
15326,Uterine fibroma,10046798
15327,Uterine fibromatosis,10046798
15328,Uterine fibromyoma,10046798
15329,Uterine leiomyoma,10046798
15330,Uterine myoma,10046798
15331,Uterine myoma prolapse,10046798
15332,Uterine myomatosis,10046798
15333,Degenerative bone disease,10081730
15334,Dehydration,10012174
15335,Exsiccosis,10012174
15336,Fluid loss,10012174
15337,Hypertonic dehydration,10012174
15338,Hypotonic dehydration,10012174
15339,Isotonic dehydration,10012174
15340,Water excessive loss of,10012174
15341,Deja vu,10012177
15342,Deja-vu,10012177
15343,Delayed cerebral ischaemia,10078388
15344,Delayed cerebral ischemia,10078388
15345,Delayed ischaemic neurological deficit,10078388
15346,Delayed ischemic neurological deficit,10078388
15347,Delayed closure of cranial sutures,10054008
15348,Delayed fontanelle closure,10054034
15349,Enlarged fontanelle,10054034
15350,Delayed myelination,10076456
15351,Delayed sleep phase,10012209
15352,Delayed spinal fusion,10074808
15353,Delayed visual maturation,10075539
15354,Dementia due to Pick's disease,10068968
15355,Frontal lobe syndrome,10068968
15356,Frontotemporal dementia,10068968
15357,Pick's disease,10068968
15358,"Dementia of the Alzheimer's type, uncomplicated",10012293
15359,"Dementia of the Alzheimer's type, with delirium",10012294
15360,"Dementia of the Alzheimer's type, with delusions",10012295
15361,"Dementia of the Alzheimer's type, with depressed mood",10012296
15362,Dementia presenile,10036631
15363,Presenile dementia,10036631
15364,Pre-senile dementia,10036631
15365,Presenile dementia with delirium,10036631
15366,Presenile dementia with delusional features,10036631
15367,Presenile dementia with depressive features,10036631
15368,"Presenile dementia, uncomplicated",10036631
15369,Dementia with Lewy bodies,10067889
15370,Diffuse Lewy body disease,10067889
15371,Demyelinating polyneuropathy,10061811
15372,Demyelinating polyneuropathy NOS,10061811
15373,Denervation atrophy,10075469
15374,Neural atrophy,10075469
15375,Neuropathic muscular atrophy,10075469
15376,Dental dysaesthesia,10078275
15377,Dental dysesthesia,10078275
15378,Dental paraesthesia,10078276
15379,Dental paresthesia,10078276
15380,Tingling teeth,10078276
15381,Dentatorubral-pallidoluysian atrophy,10075298
15382,"Dentofacial anomalies, including malocclusion",10012331
15383,Dentofacial anomaly,10012331
15384,Dentofacial anomaly NOS,10012331
15385,Other specified dentofacial anomalies,10012331
15386,Unspecified dentofacial anomalies,10012331
15387,Dentofacial functional abnormalities,10061454
15388,Dentofacial functional disorder,10061454
15389,Dentofacial functional disorder NOS,10061454
15390,Dent's disease,10069199
15391,Denys-Drash syndrome,10070179
15392,Depletion blood electrolyte (NOS,10014415
15393,Electrolyte depletion,10014415
15394,Electrolyte depletion (NOS,10014415
15395,Dermatitis lupoid,10042946
15396,LE rash,10042946
15397,LE-like rash,10042946
15398,Lupoid dermatitis,10042946
15399,Rash le,10042946
15400,Rash lupus-like,10042946
15401,SLE rash,10042946
15402,Systemic erythematosus rash,10042946
15403,Systemic lupus erythematosus rash,10042946
15404,Dermatofibroma,10053717
15405,Dermatofibroma/histiocytoma,10053717
15406,Fibrous histiocytoma,10053717
15407,Fibroxanthoma,10053717
15408,Histiocytoma,10053717
15409,Dermatofibrosarcoma,10057070
15410,Dermatofibrosarcoma protuberans,10057070
15411,Dermatofibrosarcoma metastatic,10073574
15412,Dermatofibrosarcoma protuberans metastatic,10073574
15413,Dermatosclerosis,10039710
15414,Scleroderma,10039710
15415,Dermoid cyst,10012522
15416,Dermoid cyst NOS,10012522
15417,Epidermoid cyst,10012522
15418,Dermoid cyst of ovary,10033236
15419,Ovarian germ cell teratoma benign,10033236
15420,Dermolipoma,10073484
15421,Lipodermoid tumor,10073484
15422,Lipodermoid tumour,10073484
15423,Desmin myopathy,10083445
15424,Desmoplastic fibroblastoma,10081841
15425,Desmoplastic melanoma,10072449
15426,Desmoplastic mesothelioma,10073063
15427,Desmoplastic small round cell tumor,10064581
15428,Desmoplastic small round cell tumour,10064581
15429,Destruction joint,10023203
15430,Joint destruction,10023203
